From;GroupID;GroupDescription;ParentGroupID;ParentGroupDescription;SubGroupID;SubGroupDescription;ItemID;ItemDescription;ExtendedType
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;181;Siding, Metal or Other on Frame;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;182;Siding, Metal or Other on Girts;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;183;Siding, Metal or Other on Masonry;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;184;Siding, Wood on Frame;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;185;Siding, Wood on Masonry;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;186;Stone on Frame;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;187;Stone on Masonry;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;188;Stone, Solid, 12" Thick;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;189;Stone, Solid, 18" Thick;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;190;Stone, Solid 24" Thick;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;191;Stucco on Frame;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;192;Stucco on Masonry;UsualMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;16;Wall Finish;311;None;NoneMaterial
SubGroup;47;Wall Openings;29;Exterior Walls;47;Wall Openings;285;Wall Openings;UsualMaterial
MainGroup;49;Total Length;;;;;286;Total Length;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;226;Cold Storage Insulation;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;227;Drywall;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;228;Epoxy;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;229;Paint;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;230;Paneling, Solid Wood;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;231;Plaster, Sprayed;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;232;Plaster, on Lath;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;233;Plywood / Hardwood / Fiberboard;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;234;Sheetmetal;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;235;Textured Finish;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;236;Tile, Acoustical;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;237;Tile, Ceramic;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;238;Tile, Quarry;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;239;Wallpaper, Vinyl;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;19;Wall Finish;314;None;NoneMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;241;Brick, Solid;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;242;Concrete Block;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;243;Concrete, Poured-in-Place;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;244;Demountable;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;245;Folding;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;246;Glass Block;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;247;Glass Wall;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;248;Studs, Girts, etc.;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;249;Tile, Clay;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;250;Woven Wire Panels;UsualMaterial
SubGroup;49;Total Length;32;Interior Walls;20;Wall Structure;315;None;NoneMaterial
SubGroup;49;Total Length;32;Interior Walls;49;Total Length;286;Total Length;UsualMaterial
